course,semester,academic_year,paper_code,paper_name,paper_url,pdf_url,structured_path,unstructured_path,status,downloaded_at
BTech,2,2024-25,BEC201,Fundamentals Of Electronics Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-2-fundamentals-of-electronics-engineering-2024-25,https://ryzenstudy.com/uploads/1774895101827-BEC201_FUNDAMENTALS_OF_ELECTRONICS_ENGINEERING.pdf,BTech\Sem-02\2024-25\BTech__Sem02__2024-25__BEC201__fundamentals-of-electronics-engineering.pdf,BTech__Sem02__2024-25__BEC201__fundamentals-of-electronics-engineering.pdf,OK,2026-09-07 08:46:26
BTech,2,2022-23,BME201,Fundamentals Of Mechanical Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-2-fundamentals-of-mechanical-engineering-2022-23,https://ryzenstudy.com/uploads/1774895022102-FUNDAMENTALS_OF_MECHANICAL_ENGINEERING_BME201.pdf,BTech\Sem-02\2022-23\BTech__Sem02__2022-23__BME201__fundamentals-of-mechanical-engineering.pdf,BTech__Sem02__2022-23__BME201__fundamentals-of-mechanical-engineering.pdf,OK,2026-09-07 08:46:29
BTech,2,2024-25,BME201,Fundamentals Of Mechanical Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-2-fundamentals-of-mechanical-engineering-2024-25,https://ryzenstudy.com/uploads/1774895101407-BME201_FUNDAMENTALS_OF_MECHANICAL_ENGINEERING.pdf,BTech\Sem-02\2024-25\BTech__Sem02__2024-25__BME201__fundamentals-of-mechanical-engineering.pdf,BTech__Sem02__2024-25__BME201__fundamentals-of-mechanical-engineering.pdf,OK,2026-09-07 08:46:32
BTech,2,2021-22,KME201T,Fundamentals Of Mechanical Engineering Mechatronics,https://ryzenstudy.com/papers/aktu-btech-sem-2-fundamentals-of-mechanical-engineering-mechatronics-2021-22,https://ryzenstudy.com/uploads/1774894998589-FUNDAMENTALS_OF_MECHANICAL_ENGINEERING_MECHATRONICS_KME201T.pdf,BTech\Sem-02\2021-22\BTech__Sem02__2021-22__KME201T__fundamentals-of-mechanical-engineering-mechatronics.pdf,BTech__Sem02__2021-22__KME201T__fundamentals-of-mechanical-engineering-mechatronics.pdf,OK,2026-09-07 08:46:35
BTech,2,2022-23,AUC001,Human Values Professional Ethics,https://ryzenstudy.com/papers/aktu-btech-sem-2-human-values-professional-ethics-2022-23,https://ryzenstudy.com/uploads/1774895021993-HUMAN_VALUES_PROFESSIONAL_ETHICS_AUC001.pdf,BTech\Sem-02\2022-23\BTech__Sem02__2022-23__AUC001__human-values-professional-ethics.pdf,BTech__Sem02__2022-23__AUC001__human-values-professional-ethics.pdf,OK,2026-09-07 08:46:38
BTech,2,2021-22,KCS201T,Programming For Problem Solving,https://ryzenstudy.com/papers/aktu-btech-sem-2-programming-for-problem-solving-2021-22,https://ryzenstudy.com/uploads/1774894998013-PROGRAMMING_FOR_PROBLEM_SOLVING_KCS201T.pdf,BTech\Sem-02\2021-22\BTech__Sem02__2021-22__KCS201T__programming-for-problem-solving.pdf,BTech__Sem02__2021-22__KCS201T__programming-for-problem-solving.pdf,OK,2026-09-07 08:46:41
BTech,2,2022-23,BCS201,Programming For Problem Solving,https://ryzenstudy.com/papers/aktu-btech-sem-2-programming-for-problem-solving-2022-23,https://ryzenstudy.com/uploads/1774895021934-PROGRAMMING_FOR_PROBLEM_SOLVING_BCS201.pdf,BTech\Sem-02\2022-23\BTech__Sem02__2022-23__BCS201__programming-for-problem-solving.pdf,BTech__Sem02__2022-23__BCS201__programming-for-problem-solving.pdf,OK,2026-09-07 08:46:44
BTech,2,2023-24,BCS201,Programming For Problem Solving,https://ryzenstudy.com/papers/aktu-btech-sem-2-programming-for-problem-solving-2023-24,https://ryzenstudy.com/uploads/1774895078781-BCS201_PROGRAMMING_FOR_PROBLEM_SOLVING.pdf,BTech\Sem-02\2023-24\BTech__Sem02__2023-24__BCS201__programming-for-problem-solving.pdf,BTech__Sem02__2023-24__BCS201__programming-for-problem-solving.pdf,OK,2026-09-07 08:46:47
BTech,2,2024-25,BCS201,Programming For Problem Solving,https://ryzenstudy.com/papers/aktu-btech-sem-2-programming-for-problem-solving-2024-25,https://ryzenstudy.com/uploads/1774895102068-BCS201_PROGRAMMING_FOR_PROBLEM_SOLVING.pdf,BTech\Sem-02\2024-25\BTech__Sem02__2024-25__BCS201__programming-for-problem-solving.pdf,BTech__Sem02__2024-25__BCS201__programming-for-problem-solving.pdf,OK,2026-09-07 08:46:49
BTech,2,2021-22,KNC201,Soft Skill Ii,https://ryzenstudy.com/papers/aktu-btech-sem-2-soft-skill-ii-2021-22,https://ryzenstudy.com/uploads/1774894998451-SOFT_SKILL_II_KNC201.pdf,BTech\Sem-02\2021-22\BTech__Sem02__2021-22__KNC201__soft-skill-ii.pdf,BTech__Sem02__2021-22__KNC201__soft-skill-ii.pdf,OK,2026-09-07 08:46:52
