course,branch,semester,paper_name,paper_code,exam_label,academic_year,paper_url,pdf_url,in_db
BARCH,,2,architectural structures 2,AR203,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-ar203-2015.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-ar203-2015.pdf,N
BARCH,,2,architectural structures 2,NAR203,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-nar203-2015.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-nar203-2015.pdf,N
BARCH,,2,architectural structures 2,RAR203,2017,2016-17,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-rar203-2017.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-rar203-2017.pdf,N
BARCH,,2,art and graphics 2,NAR205,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-art-and-graphics-2-nar205-2018.html,https://www.aktuonline.com/papers/barch-2-sem-art-and-graphics-2-nar205-2018.pdf,N
BARCH,,2,art and graphics 4,NAR405,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-art-and-graphics-4-nar405-2018.html,https://www.aktuonline.com/papers/barch-2-sem-art-and-graphics-4-nar405-2018.pdf,N
BARCH,,2,arts and graphic,AR205,2007,2006-07,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphic-ar-205-2007.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphic-ar-205-2007.pdf,N
BARCH,,2,arts and graphics 2,AR205,2019,2018-19,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-ar205-2019.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-ar205-2019.pdf,N
BARCH,,2,arts and graphics 2,NAR205,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-nar-205-2015.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-nar-205-2015.pdf,N
BARCH,,2,arts and graphics 2,NAR205,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-nar205-2015.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-nar205-2015.pdf,N
BARCH,,2,arts and graphics 4,AR205,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-4-ar205-2015.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-4-ar205-2015.pdf,N
BARCH,,2,arts graphic 2,AR205,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-arts-graphic-2-ar205-2018.html,https://www.aktuonline.com/papers/barch-2-sem-arts-graphic-2-ar205-2018.pdf,N
BARCH,,2,arts graphics 2,RAR205,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-arts-graphics-2-rar205-2018.html,https://www.aktuonline.com/papers/barch-2-sem-arts-graphics-2-rar205-2018.pdf,N
BARCH,,2,construction and materials 2,AR202,2007,2006-07,https://www.aktuonline.com/papers/barch-2-sem-construction-and-materials-2-ar-202-2007.html,https://www.aktuonline.com/papers/barch-2-sem-construction-and-materials-2-ar-202-2007.pdf,N
BARCH,,2,construction and materials 2,NAR202,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-construction-and-materials-2-nar-202-2015.html,https://www.aktuonline.com/papers/barch-2-sem-construction-and-materials-2-nar-202-2015.pdf,N
BARCH,,2,construction and materials 2,NAR202,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-construction-and-materials-2-nar202-2015.html,https://www.aktuonline.com/papers/barch-2-sem-construction-and-materials-2-nar202-2015.pdf,N
BARCH,,2,ecology and environment,NAR209,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-ecology-and-environment-nar209-2015.html,https://www.aktuonline.com/papers/barch-2-sem-ecology-and-environment-nar209-2015.pdf,N
BARCH,,2,engineering chemistry,RAS202,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-engineering-chemistry-ras202-2018.html,https://www.aktuonline.com/papers/barch-2-sem-engineering-chemistry-ras202-2018.pdf,N
BARCH,,2,history of architecture 1,NAR207,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-1-nar207-2018.html,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-1-nar207-2018.pdf,N
BARCH,,2,history of architecture 1,RAR207,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-1-rar207-2018.html,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-1-rar207-2018.pdf,N
BARCH,,2,history of architecture 1,RAR207,2019,2018-19,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-1-rar207-2019.html,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-1-rar207-2019.pdf,N
BARCH,,2,history of architecture,NAR207,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-nar207-2015.html,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-nar207-2015.pdf,N
BARCH,,2,surveying,RAR206,2019,2018-19,https://www.aktuonline.com/papers/barch-2-sem-surveying-rar-206-2019.html,https://www.aktuonline.com/papers/barch-2-sem-surveying-rar-206-2019.pdf,N
BARCH,,3,architectural design 3,RAR301,2020,2019-20,https://www.aktuonline.com/papers/barch-3-sem-architectural-design-3-rar301-2020.html,https://www.aktuonline.com/papers/barch-3-sem-architectural-design-3-rar301-2020.pdf,N
BARCH,,3,architectural drawing 3,AR304,2015,2014-15,https://www.aktuonline.com/papers/barch-3-sem-architectural-drawing-3-ar-304-2015.html,https://www.aktuonline.com/papers/barch-3-sem-architectural-drawing-3-ar-304-2015.pdf,N
BARCH,,3,architectural drawing 3,NAR304,2015,2014-15,https://www.aktuonline.com/papers/barch-3-sem-architectural-drawing-3-nar-304-2015.html,https://www.aktuonline.com/papers/barch-3-sem-architectural-drawing-3-nar-304-2015.pdf,N
BARCH,,3,architectural services 1,RAR306,2020,2019-20,https://www.aktuonline.com/papers/barch-3-sem-architectural-services-1-rar306-2020.html,https://www.aktuonline.com/papers/barch-3-sem-architectural-services-1-rar306-2020.pdf,N
BARCH,,3,architectural services 2,NAR306,2020,2019-20,https://www.aktuonline.com/papers/barch-3-sem-architectural-services-2-nar306-2020.html,https://www.aktuonline.com/papers/barch-3-sem-architectural-services-2-nar306-2020.pdf,N
BARCH,,3,architectural services,NAR306,2015,2014-15,https://www.aktuonline.com/papers/barch-3-sem-architectural-services-nar-306-2015.html,https://www.aktuonline.com/papers/barch-3-sem-architectural-services-nar-306-2015.pdf,N
BARCH,,3,architectural structures 3,NAR303,2015,2014-15,https://www.aktuonline.com/papers/barch-3-sem-architectural-structures-3-nar-303-2015.html,https://www.aktuonline.com/papers/barch-3-sem-architectural-structures-3-nar-303-2015.pdf,N
BARCH,,3,architecture design 7,RAR801,2021,2020-21,https://www.aktuonline.com/papers/barch-3-sem-architecture-design-7-rar801-2021.html,https://www.aktuonline.com/papers/barch-3-sem-architecture-design-7-rar801-2021.pdf,N
BARCH,,3,architecture structures 3,NAR303,2015,2014-15,https://www.aktuonline.com/papers/barch-3-sem-architecture-structures-3-nar-303-2015.html,https://www.aktuonline.com/papers/barch-3-sem-architecture-structures-3-nar-303-2015.pdf,N
BARCH,,3,art and graphics 3,NAR305,2015,2014-15,https://www.aktuonline.com/papers/barch-3-sem-art-and-graphics-3-nar-305-2015.html,https://www.aktuonline.com/papers/barch-3-sem-art-and-graphics-3-nar-305-2015.pdf,N
BARCH,,3,art and graphics 3,RAR305,2021,2020-21,https://www.aktuonline.com/papers/barch-3-sem-art-and-graphics-3-rar305-2021.html,https://www.aktuonline.com/papers/barch-3-sem-art-and-graphics-3-rar305-2021.pdf,N
BARCH,,3,arts and graphics 3,AR305,2015,2014-15,https://www.aktuonline.com/papers/barch-3-sem-arts-and-graphics-3-ar-305-2015.html,https://www.aktuonline.com/papers/barch-3-sem-arts-and-graphics-3-ar-305-2015.pdf,N
BARCH,,3,arts and graphics 3,NAR305,2015,2014-15,https://www.aktuonline.com/papers/barch-3-sem-arts-and-graphics-3-nar-305-2015.html,https://www.aktuonline.com/papers/barch-3-sem-arts-and-graphics-3-nar-305-2015.pdf,N
BARCH,,3,arts and graphics 3,NAR305,2021,2020-21,https://www.aktuonline.com/papers/barch-3-sem-arts-and-graphics-3-nar305-2021.html,https://www.aktuonline.com/papers/barch-3-sem-arts-and-graphics-3-nar305-2021.pdf,N
BARCH,,3,climatology,NAR309,2015,2014-15,https://www.aktuonline.com/papers/barch-3-sem-climatology-nar-309-2015.html,https://www.aktuonline.com/papers/barch-3-sem-climatology-nar-309-2015.pdf,N
BARCH,,3,construction and material,NAR302,2015,2014-15,https://www.aktuonline.com/papers/barch-3-sem-construction-and-material-nar-302-2015.html,https://www.aktuonline.com/papers/barch-3-sem-construction-and-material-nar-302-2015.pdf,N
BARCH,,3,construction and materials 3,AR302,2019,2018-19,https://www.aktuonline.com/papers/barch-3-sem-construction-and-materials-3-ar302-2019.html,https://www.aktuonline.com/papers/barch-3-sem-construction-and-materials-3-ar302-2019.pdf,N
BARCH,,3,history of architecture 2,NAR307,2015,2014-15,https://www.aktuonline.com/papers/barch-3-sem-history-of-architecture-2-nar-307-2015.html,https://www.aktuonline.com/papers/barch-3-sem-history-of-architecture-2-nar-307-2015.pdf,N
BARCH,,4,architectural design 4,AR401,2007,2006-07,https://www.aktuonline.com/papers/barch-4-sem-architectural-design-4-ar-401-2007.html,https://www.aktuonline.com/papers/barch-4-sem-architectural-design-4-ar-401-2007.pdf,N
BARCH,,4,architectural design 4,AR401,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-architectural-design-4-ar-401-2015.html,https://www.aktuonline.com/papers/barch-4-sem-architectural-design-4-ar-401-2015.pdf,N
BARCH,,4,architectural drawing 4,NAR404,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-architectural-drawing-4-nar404-2015.html,https://www.aktuonline.com/papers/barch-4-sem-architectural-drawing-4-nar404-2015.pdf,N
BARCH,,4,architectural service 3,NAR406,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-architectural-service-3-nar406-2015.html,https://www.aktuonline.com/papers/barch-4-sem-architectural-service-3-nar406-2015.pdf,N
BARCH,,4,architectural structures 4,AR403,2007,2006-07,https://www.aktuonline.com/papers/barch-4-sem-architectural-structures-4-ar-403-2007.html,https://www.aktuonline.com/papers/barch-4-sem-architectural-structures-4-ar-403-2007.pdf,N
BARCH,,4,architectural structures 4,AR403,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-architectural-structures-4-ar403-2015.html,https://www.aktuonline.com/papers/barch-4-sem-architectural-structures-4-ar403-2015.pdf,N
BARCH,,4,architectural structures 4,NAR403,2019,2018-19,https://www.aktuonline.com/papers/barch-4-sem-architectural-structures-4-nar403-2019.html,https://www.aktuonline.com/papers/barch-4-sem-architectural-structures-4-nar403-2019.pdf,N
BARCH,,4,art and graphics 4,NAR405,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-art-and-graphics-4-nar-405-2015.html,https://www.aktuonline.com/papers/barch-4-sem-art-and-graphics-4-nar-405-2015.pdf,N
BARCH,,4,art and graphics 4,NAR405,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-art-and-graphics-4-nar405-2015.html,https://www.aktuonline.com/papers/barch-4-sem-art-and-graphics-4-nar405-2015.pdf,N
BARCH,,4,arts and graphics 4,NAR405,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-arts-and-graphics-4-nar405-2015.html,https://www.aktuonline.com/papers/barch-4-sem-arts-and-graphics-4-nar405-2015.pdf,N
BARCH,,4,building economics,NAR409,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-building-economics-nar409-2015.html,https://www.aktuonline.com/papers/barch-4-sem-building-economics-nar409-2015.pdf,N
BARCH,,4,building services water supply,AR406,2007,2006-07,https://www.aktuonline.com/papers/barch-4-sem-building-services-water-supply-ar-406-2007.html,https://www.aktuonline.com/papers/barch-4-sem-building-services-water-supply-ar-406-2007.pdf,N
BARCH,,4,building services water supply,AR406,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-building-services-water-supply-ar406-2015.html,https://www.aktuonline.com/papers/barch-4-sem-building-services-water-supply-ar406-2015.pdf,N
BARCH,,4,climatology,AR405,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-climatology-ar405-2015.html,https://www.aktuonline.com/papers/barch-4-sem-climatology-ar405-2015.pdf,N
BARCH,,4,climatology,AR405,2018,2017-18,https://www.aktuonline.com/papers/barch-4-sem-climatology-ar405-2018.html,https://www.aktuonline.com/papers/barch-4-sem-climatology-ar405-2018.pdf,N
BARCH,,4,construction and material 4,NAR402,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-construction-and-material-4-nar402-2015.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-material-4-nar402-2015.pdf,N
BARCH,,4,construction and material 4,RAR402,2018,2017-18,https://www.aktuonline.com/papers/barch-4-sem-construction-and-material-4-rar402-2018.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-material-4-rar402-2018.pdf,N
BARCH,,4,construction and material 4,RAR402,2019,2018-19,https://www.aktuonline.com/papers/barch-4-sem-construction-and-material-4-rar402-2019.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-material-4-rar402-2019.pdf,N
BARCH,,4,construction and materials 4,AR402,2007,2006-07,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar-402-2007.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar-402-2007.pdf,N
BARCH,,4,construction and materials 4,AR402,2018,2017-18,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar-402-2018.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar-402-2018.pdf,N
BARCH,,4,construction and materials 4,AR402,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar402-2015.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar402-2015.pdf,N
BARCH,,4,construction and materials 4,AR402,2019,2018-19,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar402-2019.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar402-2019.pdf,N
BARCH,,4,construction and materials 4,NAR402,2018,2017-18,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-nar402-2018.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-nar402-2018.pdf,N
BARCH,,4,constructions and material,NAR402,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-constructions-and-material-nar402-2015.html,https://www.aktuonline.com/papers/barch-4-sem-constructions-and-material-nar402-2015.pdf,N
BARCH,,4,history of architecture 2,AR404,2007,2006-07,https://www.aktuonline.com/papers/barch-4-sem-history-of-architecture-2-ar-404-2007.html,https://www.aktuonline.com/papers/barch-4-sem-history-of-architecture-2-ar-404-2007.pdf,N
BARCH,,4,history of architecture 2,AR404,2018,2017-18,https://www.aktuonline.com/papers/barch-4-sem-history-of-architecture-2-ar404-2018.html,https://www.aktuonline.com/papers/barch-4-sem-history-of-architecture-2-ar404-2018.pdf,N
BARCH,,4,history of architecture 3,NAR407,2015,2014-15,https://www.aktuonline.com/papers/barch-4-sem-history-of-architecture-3-nar407-2015.html,https://www.aktuonline.com/papers/barch-4-sem-history-of-architecture-3-nar407-2015.pdf,N
