course,semester,academic_year,paper_code,paper_name,paper_url,pdf_url,structured_path,unstructured_path,status,downloaded_at
BARCH,2,2014-15,NAR205,arts and graphics 2,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-nar-205-2015.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-nar-205-2015.pdf,,corpus/aktuonline3/barch-2-sem-arts-and-graphics-2-nar-205-2015.pdf,OK,2026-09-20T15:41:39+00:00
BARCH,2,2014-15,AR205,arts and graphics 4,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-4-ar205-2015.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-4-ar205-2015.pdf,,corpus/aktuonline3/barch-2-sem-arts-and-graphics-4-ar205-2015.pdf,OK,2026-09-20T15:41:42+00:00
BARCH,2,2017-18,RAR205,arts graphics 2,https://www.aktuonline.com/papers/barch-2-sem-arts-graphics-2-rar205-2018.html,https://www.aktuonline.com/papers/barch-2-sem-arts-graphics-2-rar205-2018.pdf,,corpus/aktuonline3/barch-2-sem-arts-graphics-2-rar205-2018.pdf,OK,2026-09-20T15:41:45+00:00
BARCH,2,2014-15,NAR202,construction and materials 2,https://www.aktuonline.com/papers/barch-2-sem-construction-and-materials-2-nar-202-2015.html,https://www.aktuonline.com/papers/barch-2-sem-construction-and-materials-2-nar-202-2015.pdf,,corpus/aktuonline3/barch-2-sem-construction-and-materials-2-nar-202-2015.pdf,OK,2026-09-20T15:41:48+00:00
BARCH,2,2014-15,NAR209,ecology and environment,https://www.aktuonline.com/papers/barch-2-sem-ecology-and-environment-nar209-2015.html,https://www.aktuonline.com/papers/barch-2-sem-ecology-and-environment-nar209-2015.pdf,,corpus/aktuonline3/barch-2-sem-ecology-and-environment-nar209-2015.pdf,OK,2026-09-20T15:41:51+00:00
BARCH,2,2017-18,NAR207,history of architecture 1,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-1-nar207-2018.html,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-1-nar207-2018.pdf,,corpus/aktuonline3/barch-2-sem-history-of-architecture-1-nar207-2018.pdf,OK,2026-09-20T15:41:54+00:00
BARCH,2,2018-19,RAR207,history of architecture 1,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-1-rar207-2019.html,https://www.aktuonline.com/papers/barch-2-sem-history-of-architecture-1-rar207-2019.pdf,,corpus/aktuonline3/barch-2-sem-history-of-architecture-1-rar207-2019.pdf,OK,2026-09-20T15:41:58+00:00
BARCH,2,2018-19,RAR206,surveying,https://www.aktuonline.com/papers/barch-2-sem-surveying-rar-206-2019.html,https://www.aktuonline.com/papers/barch-2-sem-surveying-rar-206-2019.pdf,,corpus/aktuonline3/barch-2-sem-surveying-rar-206-2019.pdf,OK,2026-09-20T15:42:01+00:00
BARCH,3,2014-15,AR304,architectural drawing 3,https://www.aktuonline.com/papers/barch-3-sem-architectural-drawing-3-ar-304-2015.html,https://www.aktuonline.com/papers/barch-3-sem-architectural-drawing-3-ar-304-2015.pdf,,corpus/aktuonline3/barch-3-sem-architectural-drawing-3-ar-304-2015.pdf,OK,2026-09-20T15:42:04+00:00
BARCH,3,2019-20,RAR306,architectural services 1,https://www.aktuonline.com/papers/barch-3-sem-architectural-services-1-rar306-2020.html,https://www.aktuonline.com/papers/barch-3-sem-architectural-services-1-rar306-2020.pdf,,corpus/aktuonline3/barch-3-sem-architectural-services-1-rar306-2020.pdf,OK,2026-09-20T15:42:07+00:00
